Face,Level,Treasure,Symb,LensPrefix,LensName,MEreason,MEquestion,WEreason,WEquestion
8D,Energy,Utility,8?,The Lens of the,Economy,"Because the economy is about more than just money, ask yourself:",What is more important than money? What is less important? Do I have what I need for the future?,"Because the economy goes through cycles, we ask ourselves:",How will we help each other get through hard times?
8S,Energy,Might,8?,The Lens of,Power,Power is the ability to get what you want. Ask yourself:,Do I already have enough power? Do I need more power? Why? How will I get it?,"Because power corrupts, we ask ourselves:",Are some of us benefiting at the expense of others? How do we curb the power of the greedy?
9H,Vitality,Intelligence,9?,The Lens of,Thinking,"Because you need to know how to think, ask yourself:",Can I think: mathematically? verbally? emotionally?,"Because 'group think' is a real problem, we ask ourselves: ",Do we encourage outsiders to question us? Have we gone off the rails?
9C,Vitality,Self,9?,The Lens of the,Crowd,People tend to follow each other rather than think for themselves. Ask yourself:,How am I influenced by other people? Who should influence me more? Who should influence me less?,"Because a crowd can take on a life of its own, we as ourselves.",Do we respect the rights of the individual and of the outsider?
9D,Vitality,Trade,9?,The Lens of the,Markets,Markets set prices and bring people together to trade. Ask yourself:,What markets do I operate in? How can I be more successful in the market for who I am?,There is no substitute for doing the right thing. We ask ourselves:,Are we blaming markets for our own bad behavior?
9S,Vitality,Mystery,9?,The Lens of the,Unknown,"Because the Unknown is bigger than the Known, ask yourself:",What questions am I failing to ask? Have I left room for the Unknown?,"Because sometimes 'nobody knows' is the right answer, we ask ourselves:",Are we comfortable with uncertainty and doubt?
TH,Love,Dignity,10?,The Lens of,Self-Love,"Because you will not be happy if you do not believe you are worthy of love, ask yourself:",How can I accept myself unconditionally as I am?,Most people want to be part of something bigger than themselves. We ask ourselves:,Are we bigger than the sum of our parts?
TC,Love,Devotion,10?,The Lens of,Loving Others,"So that you can fulfill your potential as a human, ask yourself:",Who do I love? Why? How? Who loves me? Why? How?,There is a big difference between loving and being loved. We ask ourselves:,Are we making the effort that loving requires?
TD,Love,Engagement,10?,The Lens of,Loving Life,"So that you can seize every day and make the most of it, ask yourself:",What gets me up every morning?,Moods are infectious. We ask ourselves:,How is our morale? How can we make it better?
TS,Love,Passion ,10?,The Lens of,Love of the Work,"Because loving what you do trumps skill and aptitude, ask yourself:",What do I love to do?,"Passionate people do what needs to be done, even the parts they hate doing. We ask ourselves:",How will we help each other do the things we do not like doing?
JH,Force,Grace,J?,The Lens of,Forgiveness,You must accept the past because it cannot be changed. Ask yourself:,Can I forgive others? Can I forgive myself? Do I? Will I?,Sometimes a desire for revenge can overwhelm our better nature. We ask ourselves:,Are we promoting hatred and ignorance or love and understanding?
JC,Force,Soul,J?,The Lens of,Empathy,"Because people need you to understand them, ask yourself:",What would I feel if I were them? What would I think if I were them? What would I do if I were them?,"Because even our enemies have rights, we ask ourselves:",Do we treat others in ways we would find abhorrent?
JD,Force,Order,J?,The Lens of,Entropy,"Because there is a natural tendency for things to fall apart, ask yourself",How will I resist the forces of chaos?,"Some problems, such as a mathematical proof, can be solved once for all time. Other problems, such as maintaining a loving relationship, require constant effort. We ask ourselves:",Which of our problems can be solved once for all time and which require constant effort?
JS,Force,Persuasion,J?,The Lens of,Salesmanship,"Because sometimes other people need persuading, ask yourself:",What do people need? Can I help them? How can I get them to want my help?,"Because making the sale is the beginning, not the end, we ask ourselves:",Are we delivering on our promises?
QH,Story,Origin,Q?,The Lens of the,Personal Narrative,"To know where you are going, ask yourself:",What has been my story so far? What kind of experiences have I set myself up to have?,There is a thread that runs through everything that we do. We ask ourselves:,What is our plot and theme?
QC,Story,Duty,Q?,The Lens of the,Human Condition,"Because we are all brothers and sisters, ask yourself:",What do I have in common with everyone? How can I be of service to mankind?,We are part of a greater whole. We ask ourselves:,How will we care about everyone and not just each other?
QD,Story,Explanation,Q?,The Lens of,Mythology,"In your search for meaning, instead of only describing the world scientifically, ask yourself:",What invented stories are useful in making sense of the world? What do I accept on faith?,A story can ring true without being literally true. We ask ourselves:,Do we expect or require people to accept our stories as the absolute truth?
QS,Story,Sacrifice,Q?,The Lens of the,Hero's Journey,"Because the world needs to be saved, ask yourself:",When will I put myself at risk for the benefit of others? What do I care about more than life itself?,Hero's need mentors. We ask ourselves:,How do we help others on their journey?
KH,Virtue,Courage,K?,The Lens of,Honesty,To know thyself you must know thy truth. Ask yourself:,Am I who I say I am?,"Because we all risk believing things merely because others do, we ask ourselves:",Do we challenge each other's beliefs and keep each other honest?
KC,Virtue,Responsibility,K?,The Lens of,Accountability,"So that others can help you live up to your potential, ask yourself",Who holds me accountable?,"Because accountability requires a group effort, we ask ourselves:",How do we hold each other accountable?
KD,Virtue,Youth,K?,The Lens of,Growth,"So that you will never grow old, ask yourself:","How will I become more knowledgeable, skilled, and wise?","Because curious people cannot do it all alone, we ask ourselves:",Will we make time and do the work to help the curious?
KS,Virtue,Honor,K?,The Lens of,Integrity,"So that you can live at peace with your conscience, ask yourself:",What are the rules that I live by? Do I do what I say I will do?,We must reconcile our relationship with our conscience and with each other. ,What do we consider to be immoral? What is our code of ethics?
BJ,Destiny,Wisdom,BLACK JOKER,The Lens of,Mortality,Nobody asked to be born but now that we are here we must make the most of it. Ask yourself:,Is doing what I am doing worth my time?,"Because everyone is running like death is behind them because death is behind them, we ask ourselves:",Are we worth other people's time?
RJ,Destiny,Calling,RED JOKER,The Lens of,Your Secret Purpose,"To make sure you are working toward your true purpose, ask yourself:",Why do I do what I do?,There will be a world full of people after we are gone. For our purpose to be noble we must ask ourselves:,Why should anyone care that we once existed?
